2014-03-05 12:38:41 Debug: Notice (8): Undefined property: Ciclo::$Materium in [C:\wamp\www\sigedu\controllers\ciclos_controller.php, line 31]
2014-03-05 13:33:30 Debug: Notice (8): Undefined property: Alumno::$Materium in [C:\wamp\www\sigedu\controllers\alumnos_controller.php, line 31]
2014-03-05 13:37:46 Debug: Notice (8): Undefined property: Alumno::$Materium in [C:\wamp\www\sigedu\controllers\alumnos_controller.php, line 53]
2014-03-05 13:48:31 Debug: Notice (8): Undefined index: FechaCambioSituacionPersona in [C:\wamp\www\sigedu\views\materias\view.ctp, line 122]
2014-03-05 13:55:08 Debug: Notice (8): Undefined index: FechaCambioSituacionPersona in [C:\wamp\www\sigedu\views\materias\view.ctp, line 122]
2014-03-05 13:58:42 Debug: Notice (8): Undefined property: Docente::$Materium in [C:\wamp\www\sigedu\controllers\docentes_controller.php, line 30]
2014-03-05 14:02:46 Debug: Notice (8): Undefined property: Cargo::$Materium in [C:\wamp\www\sigedu\controllers\cargos_controller.php, line 31]
2014-03-05 14:09:10 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\centros\view.ctp, line 180]
2014-03-05 14:09:16 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\cursos\view.ctp, line 175]
2014-03-05 17:08:06 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\centros\view.ctp, line 180]
2014-03-05 17:08:13 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\cursos\view.ctp, line 175]
2014-03-05 17:11:02 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\empleados\view.ctp, line 302]
2014-03-05 17:11:29 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\empleados\view.ctp, line 302]
2014-03-05 18:12:12 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\empleados\view.ctp, line 302]
2014-03-06 16:01:27 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\centros\view.ctp, line 180]
2014-03-06 17:31:36 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\ciclos\view.ctp, line 155]
2014-03-06 17:31:49 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\ciclos\view.ctp, line 155]
2014-03-06 18:00:40 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\cursos\view.ctp, line 175]
2014-03-06 18:01:26 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\cursos\view.ctp, line 175]
2014-03-07 00:49:20 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\empleados\view.ctp, line 302]
2014-03-07 23:37:14 Debug: Notice (8): Use of undefined constant numeric - assumed 'numeric' in [C:\wamp\cake\cake\libs\class_registry.php, line 141]
2014-03-07 23:37:14 Debug: Notice (8): Use of undefined constant numeric - assumed 'numeric' in [C:\wamp\cake\cake\libs\class_registry.php, line 141]
2014-03-10 02:51:48 Debug: Notice (8): Undefined index: instituci??n in [C:\wamp\www\sigedu\views\titulos\index.ctp, line 24]
2014-03-10 02:52:29 Debug: Notice (8): Undefined index: instituci??n in [C:\wamp\www\sigedu\views\titulos\index.ctp, line 24]
2014-03-10 02:52:41 Debug: Notice (8): Undefined index: instituci??n in [C:\wamp\www\sigedu\views\titulos\index.ctp, line 24]
2014-03-10 02:53:55 Debug: Notice (8): Undefined index: instituci??n in [C:\wamp\www\sigedu\views\titulos\view.ctp, line 21]
2014-03-12 01:06:18 Debug: Notice (8): Undefined property: Alumno::$Ciudad in [C:\wamp\www\sigedu\controllers\alumnos_controller.php, line 29]
2014-03-14 20:09:54 Debug: Notice (8): Undefined index: yMd in [C:\wamp\cake\cake\libs\validation.php, line 409]
2014-03-14 20:10:39 Debug: Notice (8): Undefined index: dMY in [C:\wamp\cake\cake\libs\validation.php, line 409]
2014-03-16 22:41:02 Debug: Notice (8): Undefined variable: year in [C:\wamp\cake\cake\libs\view\helpers\form.php, line 1549]
2014-03-16 22:42:17 Debug: Notice (8): Undefined variable: year in [C:\wamp\cake\cake\libs\view\helpers\form.php, line 1549]
